text,processed_text,source,vader_label,vader_score,textblob_label,textblob_score,label,timestamp
Hyatt Signs Management Deal for Hyatt Place Kolhapur Sangli - Hospitality Biz India Hyatt Signs Management Deal for Hyatt Place Kolhapur Sangli  Hospitality Biz India nan,hyatt signs management deal place kolhapur sangli hospitality biz india nan,sangli_news,neutral,0.0,neutral,0.0,neutral,2025-11-26 14:42:25.604584
NDMC installs 20 aerobins at Sangli Mess to manage waste - MillenniumPost NDMC installs 20 aerobins at Sangli Mess to manage waste  MillenniumPost nan,ndmc install aerobin sangli mess manage waste millenniumpost nan,sangli_news,negative,-0.8625,negative,-0.1875,negative,2025-11-26 14:42:25.604584
Key accused in Shirvoi knife attack nabbed in Sangli - The Times of India Key accused in Shirvoi knife attack nabbed in Sangli  The Times of India nan,key accuse shirvoi knife attack nab sangli times india nan,sangli_news,negative,-0.8625,neutral,0.0,negative,2025-11-26 14:42:25.604584
"Daily life affected in Kolhapur, Satara & Sangli districts; landslides reported - The Times of India Daily life affected in Kolhapur, Satara & Sangli districts; landslides reported  The Times of India nan",daily life affect kolhapur satara sangli district landslide report times india nan,sangli_news,negative,-0.296,neutral,0.0,negative,2025-11-26 14:42:25.604584
Sangli contractor found dead; kin say he was under financial stress due to unpaid govt bills & debts - The Times of India Sangli contractor found dead; kin say he was under financial stress due to unpaid govt bills & debts  The Times of India nan,sangli contractor find dead kin financial stress unpaid govt bill debt times india nan,sangli_news,negative,-0.9349,neutral,-0.03125,negative,2025-11-26 14:42:25.604584
"Floods now a ‘new normal’ in Kolhapur & Sangli, no matter how much it rains - The Times of India Floods now a ‘new normal’ in Kolhapur & Sangli, no matter how much it rains  The Times of India nan",flood new normal kolhapur sangli matter rain times india floods nan,sangli_news,neutral,-0.0382,positive,0.16212121212121214,neutral,2025-11-26 14:42:25.604584
"Floods hit power, water supply in Sangli, Kolhapur in Maharashtra - India Today Floods hit power, water supply in Sangli, Kolhapur in Maharashtra  India Today nan",flood hit power water supply sangli kolhapur maharashtra india today nan,sangli_news,neutral,0.0,neutral,0.0,neutral,2025-11-26 14:42:25.604584
"Maharashtra Water Crisis: Section 144 Imposed In Sangli, Satara Districts to Stop Water Theft -- Check Full L - india.com Maharashtra Water Crisis: Section 144 Imposed In Sangli, Satara Districts to Stop Water Theft -- Check Full L  india.com nan",maharashtra water crisis section impose sangli satara districts stop theft check nan,sangli_news,negative,-0.6941,positive,0.35,negative,2025-11-26 14:42:25.604584
Govt denies responsibility in paying Sangli contractor found dead as opposition questions pending payment - The Times of India Govt denies responsibility in paying Sangli contractor found dead as opposition questions pending payment  The Times of India nan,govt deny responsibility pay sangli contractor find dead opposition question pende payment times india nan,sangli_news,negative,-0.9349,negative,-0.2,negative,2025-11-26 14:42:25.604584
BMC continues work in Sangli - The Hindu BMC continues work in Sangli  The Hindu nan,bmc continue work sangli hindu nan,sangli_news,neutral,0.0,neutral,0.0,neutral,2025-11-26 14:42:25.604584
Sangli residents set to face 50% water cuts from Monday - The Times of India Sangli residents set to face 50% water cuts from Monday  The Times of India nan,sangli resident set face water cut monday times india nan,sangli_news,negative,-0.5267,neutral,0.0,negative,2025-11-26 14:42:25.604584
Sangli city to face supply cuts as Krishna water level dips - The Times of India Sangli city to face supply cuts as Krishna water level dips  The Times of India nan,sangli city face supply cut krishna water level dip times india nan,sangli_news,negative,-0.5267,neutral,0.0,negative,2025-11-26 14:42:25.604584
Water crisis: Prohibitory orders in Maharashtra's Sangli & Satara districts - The Times of India Water crisis: Prohibitory orders in Maharashtra's Sangli & Satara districts  The Times of India nan,water crisis prohibitory order maharashtra sangli satara district times india nan,sangli_news,negative,-0.8481,neutral,0.0,negative,2025-11-26 14:42:25.604584
Koyna dam sluice gates reopen for water-scarce Sangli district - The Times of India Koyna dam sluice gates reopen for water-scarce Sangli district  The Times of India nan,koyna dam sluice gate reopen water scarce sangli district times india nan,sangli_news,neutral,0.0,neutral,0.0,neutral,2025-11-26 14:42:25.604584
"Sangli, Satara & Solapur residents in despair for every drop of water - The Times of India Sangli, Satara & Solapur residents in despair for every drop of water  The Times of India nan",sangli satara solapur resident despair drop water times india nan,sangli_news,negative,-0.7783,neutral,0.0,negative,2025-11-26 14:42:25.604584
Maharashtra: Rs 133 crore flood relief given to Sangli administration - The Times of India Maharashtra: Rs 133 crore flood relief given to Sangli administration  The Times of India nan,maharashtra crore flood relief give sangli administration times india nan,sangli_news,positive,0.7351,neutral,0.0,positive,2025-11-26 14:42:25.604584
Sangli irrigation dept seeks 2 TMC from Koyna dam - The Times of India Sangli irrigation dept seeks 2 TMC from Koyna dam  The Times of India nan,sangli irrigation dept seek tmc koyna dam times india nan,sangli_news,neutral,0.0,neutral,0.0,neutral,2025-11-26 14:42:25.604584
"Reservoirs dry up, over 1,600 villages in Sangli & Satara face water crisis - The Times of India Reservoirs dry up, over 1,600 villages in Sangli & Satara face water crisis  The Times of India nan",reservoir dry village sangli satara face water crisis times india reservoirs nan,sangli_news,negative,-0.8481,neutral,-0.06666666666666665,negative,2025-11-26 14:42:25.604584
Water released from Koyna dam to tide over scarcity in Sangli dist - The Times of India Water released from Koyna dam to tide over scarcity in Sangli dist  The Times of India nan,water release koyna dam tide scarcity sangli dist times india nan,sangli_news,neutral,0.0,neutral,0.0,neutral,2025-11-26 14:42:25.604584
Maharashtra assembly speaker inaugurates key road stretch in Sangli - The Times of India Maharashtra assembly speaker inaugurates key road stretch in Sangli  The Times of India nan,maharashtra assembly speaker inaugurate key road stretch sangli times india nan,sangli_news,neutral,0.0,neutral,0.0,neutral,2025-11-26 14:42:25.604584
"Sangli Power Cut News: Electricity Shutdown In City for Maintenance Work on January 7, Details Inside - lokmattimes.com Sangli Power Cut News: Electricity Shutdown In City for Maintenance Work on January 7, Details Inside  lokmattimes.com nan",sangli power cut news electricity shutdown city maintenance work january details inside detail nan,sangli_news,negative,-0.4939,neutral,0.0,negative,2025-11-26 14:42:25.604584
RLDA calls for bids to develop vacant land on Sangli-Miraj main road - Construction Week India RLDA calls for bids to develop vacant land on Sangli-Miraj main road  Construction Week India nan,rlda call bid develop vacant land sangli miraj main road construction week india nan,sangli_news,neutral,0.0,positive,0.16666666666666666,neutral,2025-11-26 14:42:25.604584
"New highways between Kolhapur and Sangli approved for INR 1,130 crore - Construction World India New highways between Kolhapur and Sangli approved for INR 1,130 crore  Construction World India nan",new highway kolhapur sangli approve inr crore construction world india nan,sangli_news,positive,0.6808,positive,0.13636363636363635,positive,2025-11-26 14:42:25.604584
ITI Sangli offers free servicing of electric appliances for flood-hit families - The Indian Express ITI Sangli offers free servicing of electric appliances for flood-hit families  The Indian Express nan,iti sangli offer free servicing electric appliance flood hit family indian express nan,sangli_news,positive,0.765,positive,0.25,positive,2025-11-26 14:42:25.604584
"Maharashtra's Sangli, Satara to get better connectivity as work on NH 160 begins: Nitin Gadkari - The Economic Times Maharashtra's Sangli, Satara to get better connectivity as work on NH 160 begins: Nitin Gadkari  The Economic Times nan",maharashtra sangli satara well connectivity work nh begin nitin gadkari economic times nan,sangli_news,positive,0.9283,positive,0.35,positive,2025-11-26 14:42:25.604584
Temporary Closure of Gates on Satara-Sangli Railway Line for Repair Work - PUNE PULSE Temporary Closure of Gates on Satara-Sangli Railway Line for Repair Work  PUNE PULSE nan,temporary closure gates satara sangli railway line repair work pune pulse nan,sangli_news,neutral,0.0,neutral,0.0,neutral,2025-11-26 14:42:25.604584
"Four labourers killed, 10 injured in road accident in Sangli district - The Hindu Four labourers killed, 10 injured in road accident in Sangli district  The Hindu nan",labourer kill injure road accident sangli district hindu nan,sangli_news,negative,-0.9666,negative,-0.2,negative,2025-11-26 14:42:25.604584
"Sangli-Peth Naka road construction begins, to be completed in 2 years - The Times of India Sangli-Peth Naka road construction begins, to be completed in 2 years  The Times of India nan",sangli peth naka road construction begin complete year times india nan,sangli_news,neutral,0.0,neutral,0.0,neutral,2025-11-26 14:42:25.604584
"Pune: MSRTC partially restores service to Kolhapur, no buses to Sangli - The Indian Express Pune: MSRTC partially restores service to Kolhapur, no buses to Sangli  The Indian Express nan",pune msrtc partially restore service kolhapur bus sangli indian express nan,sangli_news,neutral,0.0,neutral,-0.1,neutral,2025-11-26 14:42:25.604584
300cr needed for new roads between Kolhapur and Sangli - The Times of India 300cr needed for new roads between Kolhapur and Sangli  The Times of India nan,need new road kolhapur sangli times india nan,sangli_news,neutral,0.0,positive,0.13636363636363635,neutral,2025-11-26 14:42:25.604584
Sangli-Peth four-lane concrete road work to start after Diwali - The Times of India Sangli-Peth four-lane concrete road work to start after Diwali  The Times of India nan,sangli peth lane concrete road work start diwali times india nan,sangli_news,neutral,0.0,positive,0.15000000000000002,neutral,2025-11-26 14:42:25.604584
"3-yr-old, teen among 4 killed as truck hits tractor-trolley in Sangli - The Times of India 3-yr-old, teen among 4 killed as truck hits tractor-trolley in Sangli  The Times of India nan",yr old teen kill truck hit tractor trolley sangli times india nan,sangli_news,negative,-0.875,neutral,-0.1,negative,2025-11-26 14:42:25.604584
Star cricketer Smriti Mandhana postpones wedding indefinitely after father hospitalised in Sangli - The Times of India Star cricketer Smriti Mandhana postpones wedding indefinitely after father hospitalised in Sangli  The Times of India nan,star cricketer smriti mandhana postpone wedding indefinitely father hospitalise sangli times india nan,sangli_news,negative,-0.4939,neutral,0.0,negative,2025-11-26 14:42:25.604584
Draft ward boundaries published for Sangli civic poll - The Times of India Draft ward boundaries published for Sangli civic poll  The Times of India nan,draft ward boundary publish sangli civic poll times india nan,sangli_news,neutral,0.0,neutral,0.0,neutral,2025-11-26 14:42:25.604584
"Sangli Miraj and Kupwad Municipal Corporation Recruitment 2025 - Apply Offline for 82 Staff Nurse, Lab Technician and More Posts by Oct 03 - FreeJobAlert.Com Sangli Miraj and Kupwad Municipal Corporation Recruitment 2025 - Apply Offline for 82 Staff Nurse, Lab Technician and More Posts by Oct 03  FreeJobAlert.Com nan",sangli miraj kupwad municipal corporation recruitment apply offline staff nurse lab technician posts oct freejobalert com nan,sangli_news,negative,-0.25,positive,0.5,negative,2025-11-26 14:42:25.604584
Sangli deputy commissioner booked for demanding ₹7 lakh bribe | Hindustan Times - Hindustan Times Sangli deputy commissioner booked for demanding ₹7 lakh bribe | Hindustan Times  Hindustan Times nan,sangli deputy commissioner book demand lakh bribe hindustan times nan,sangli_news,negative,-0.6597,neutral,0.0,negative,2025-11-26 14:42:25.604584
